ID,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,total_emotions,total_sentiments
0,0.0968,0.2581,0.0323,0.0645,0.1935,0.3333,0.6667,0.0968,0.0323,0.2258,31,18
6,0.0682,0.25,0.0227,0.0909,0.2045,0.3333,0.6667,0.0909,0.0909,0.1818,44,24
29,0.0769,0.1538,0.0385,0.1154,0.1923,0.1429,0.8571,0.0385,0.0769,0.3077,26,14
31,0.0909,0.2273,0.0909,0.1818,0.0,0.3333,0.6667,0.2273,0.0,0.1818,22,15
34,0.1364,0.0,0.0909,0.1364,0.0455,0.75,0.25,0.4545,0.0,0.1364,22,16
35,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.2,0.0,0.0,5,4
47,0.037,0.1852,0.037,0.1481,0.1852,0.3529,0.6471,0.1852,0.037,0.1852,27,17
49,0.0435,0.1304,0.0435,0.2174,0.1304,0.375,0.625,0.2609,0.0435,0.1304,23,16
54,0.1538,0.0769,0.0,0.3077,0.0,0.5833,0.4167,0.2308,0.0769,0.1538,13,12
64,0.1091,0.1091,0.1273,0.1273,0.1091,0.5862,0.4138,0.2182,0.0727,0.1273,55,29
75,0.175,0.175,0.0875,0.15,0.125,0.4615,0.5385,0.075,0.1,0.1125,80,26
82,0.0741,0.2037,0.0556,0.1481,0.0926,0.4,0.6,0.2222,0.0185,0.1852,54,30
110,0.0909,0.0,0.0909,0.0909,0.0909,0.5,0.5,0.2727,0.0,0.3636,11,10
111,0.087,0.1304,0.0,0.1739,0.1304,0.5,0.5,0.1739,0.0435,0.2609,23,12
124,0.0952,0.0952,0.0476,0.1429,0.0952,0.4167,0.5833,0.1905,0.0476,0.2857,21,12
129,0.1091,0.1273,0.0545,0.1636,0.0727,0.5581,0.4419,0.2364,0.0545,0.1818,55,43
137,0.0556,0.2222,0.0,0.2222,0.1667,0.5,0.5,0.1111,0.0556,0.1667,18,6
143,0.0,0.3,0.0333,0.0667,0.1667,0.1304,0.8696,0.0667,0.1333,0.2333,30,23
144,0.1,0.2,0.025,0.075,0.15,0.3571,0.6429,0.125,0.15,0.175,40,14
150,0.125,0.125,0.1,0.125,0.075,0.619,0.381,0.3,0.025,0.125,40,21
160,0.125,0.25,0.0,0.25,0.0,1.0,0.0,0.375,0.0,0.0,8,3
168,0.0588,0.1176,0.0588,0.1765,0.1765,0.5,0.5,0.2353,0.0,0.1765,17,8
172,0.1404,0.193,0.0877,0.1754,0.1053,0.5714,0.4286,0.1404,0.0526,0.1053,57,21
178,0.0,0.25,0.0417,0.0417,0.1667,0.2143,0.7857,0.125,0.0833,0.2917,24,14
184,0.1053,0.1579,0.0526,0.2105,0.0526,0.5,0.5,0.1053,0.0,0.3158,19,10
190,0.1,0.0667,0.0333,0.2333,0.0667,0.4706,0.5294,0.2333,0.1,0.1667,30,17
191,0.1471,0.0588,0.0588,0.1765,0.0588,0.6087,0.3913,0.3235,0.0,0.1765,34,23
201,0.0625,0.0938,0.0938,0.2188,0.0625,0.2667,0.7333,0.2188,0.0312,0.2188,32,15
212,0.1084,0.1446,0.0723,0.2289,0.0361,0.7727,0.2273,0.2892,0.0482,0.0723,83,44
217,0.2174,0.0,0.1739,0.2174,0.0,0.9231,0.0769,0.3478,0.0,0.0435,23,13
221,0.0909,0.1818,0.0909,0.1515,0.0303,0.5238,0.4762,0.2121,0.0606,0.1818,33,21
228,0.0714,0.2857,0.0,0.0714,0.2143,0.375,0.625,0.0714,0.1429,0.1429,14,8
229,0.087,0.1884,0.1159,0.1884,0.029,0.5333,0.4667,0.1884,0.0145,0.1884,69,45
