ID,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,total_emotions,total_sentiments
1,0.0851,0.1702,0.0426,0.0851,0.234,0.303,0.697,0.0851,0.0426,0.2553,47,33
2,0.0429,0.2143,0.0429,0.0714,0.2,0.2308,0.7692,0.1143,0.0857,0.2286,70,39
3,0.0816,0.2041,0.0816,0.1224,0.1837,0.2692,0.7308,0.0816,0.0612,0.1837,49,26
4,0.0484,0.1935,0.0645,0.0806,0.1452,0.3333,0.6667,0.129,0.0806,0.2581,62,36
5,0.0857,0.1714,0.0571,0.1,0.1714,0.3111,0.6889,0.1,0.0571,0.2571,70,45
6,0.0508,0.1186,0.0678,0.0847,0.1864,0.2903,0.7097,0.1186,0.0847,0.2881,59,31
7,0.0339,0.1864,0.0339,0.0339,0.2373,0.2667,0.7333,0.1017,0.0847,0.2881,59,30
8,0.0303,0.1212,0.0606,0.0606,0.1515,0.2174,0.7826,0.1515,0.1515,0.2727,33,23
9,0.0702,0.1228,0.0877,0.0702,0.1579,0.3889,0.6111,0.1754,0.0877,0.2281,57,36
10,0.0213,0.2128,0.0638,0.0426,0.234,0.1724,0.8276,0.1064,0.0851,0.234,47,29
11,0.1282,0.1026,0.1026,0.0897,0.1795,0.4,0.6,0.1282,0.0769,0.1923,78,40
12,0.0577,0.2308,0.0577,0.0769,0.2115,0.3226,0.6774,0.0577,0.0962,0.2115,52,31
13,0.0988,0.1605,0.0741,0.0988,0.1605,0.4333,0.5667,0.1111,0.1111,0.1852,81,30
14,0.1429,0.1633,0.0816,0.0816,0.1429,0.44,0.56,0.102,0.102,0.1837,49,25
15,0.125,0.2,0.025,0.05,0.225,0.3182,0.6818,0.05,0.1,0.225,40,22
16,0.0364,0.1273,0.0364,0.1091,0.2,0.3824,0.6176,0.1455,0.1091,0.2364,55,34
17,0.0896,0.1642,0.0746,0.1045,0.1791,0.3704,0.6296,0.1045,0.1045,0.1791,67,27
18,0.0952,0.1587,0.1111,0.0635,0.1746,0.4,0.6,0.127,0.0952,0.1746,63,30
19,0.069,0.1897,0.0517,0.0862,0.2069,0.3514,0.6486,0.069,0.1207,0.2069,58,37
20,0.1429,0.1429,0.0635,0.1111,0.1429,0.4375,0.5625,0.1111,0.127,0.1587,63,32
