ID,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,total_emotions,total_sentiments
1,0.05,0.1833,0.0333,0.0833,0.25,0.1333,0.8667,0.05,0.1,0.25,60,30
2,0.0857,0.2,0.0286,0.1143,0.2,0.3182,0.6818,0.1143,0.0857,0.1714,35,22
3,0.0556,0.125,0.0278,0.1528,0.1667,0.3571,0.6429,0.1528,0.0556,0.2639,72,42
4,0.0345,0.2241,0.0862,0.069,0.1897,0.25,0.75,0.069,0.1034,0.2241,58,32
5,0.0806,0.1613,0.0968,0.0968,0.1935,0.3077,0.6923,0.0645,0.129,0.1774,62,26
6,0.0,0.2059,0.0294,0.1176,0.2353,0.3333,0.6667,0.1471,0.1176,0.1471,34,24
7,0.0682,0.1818,0.0682,0.0909,0.2273,0.3158,0.6842,0.0455,0.1591,0.1591,44,19
8,0.0597,0.2687,0.0299,0.1343,0.194,0.1892,0.8108,0.0746,0.0896,0.1493,67,37
9,0.0588,0.2206,0.0441,0.1029,0.1912,0.3429,0.6571,0.1176,0.0735,0.1912,68,35
10,0.0303,0.0909,0.0606,0.1818,0.2424,0.2,0.8,0.0909,0.0606,0.2424,33,30
11,0.0,0.2807,0.0526,0.0702,0.2456,0.1333,0.8667,0.0351,0.0877,0.2281,57,30
12,0.075,0.2,0.075,0.15,0.125,0.2,0.8,0.025,0.125,0.225,40,20
13,0.0204,0.2653,0.0,0.0612,0.3061,0.2069,0.7931,0.0816,0.0816,0.1837,49,29
14,0.0568,0.1818,0.0568,0.0795,0.2386,0.1951,0.8049,0.0795,0.0682,0.2386,88,41
15,0.0533,0.2,0.0533,0.12,0.1867,0.275,0.725,0.0533,0.08,0.2533,75,40
16,0.0303,0.1212,0.0909,0.0909,0.2424,0.2778,0.7222,0.0606,0.0606,0.303,33,18
17,0.0769,0.1923,0.0962,0.0769,0.1923,0.2727,0.7273,0.0769,0.1154,0.1731,52,22
18,0.0816,0.102,0.0816,0.1429,0.1633,0.25,0.75,0.0408,0.1224,0.2653,49,36
19,0.1282,0.1538,0.0513,0.1538,0.1538,0.4231,0.5769,0.1026,0.0513,0.2051,39,26
20,0.0,0.2,0.0286,0.0857,0.1429,0.1905,0.8095,0.0857,0.1143,0.3429,35,21
21,0.0811,0.1892,0.0676,0.1351,0.1622,0.3714,0.6286,0.1081,0.0811,0.1757,74,35
22,0.0377,0.1509,0.0943,0.0943,0.2075,0.2222,0.7778,0.0943,0.1321,0.1887,53,27
23,0.1556,0.1111,0.1111,0.1556,0.2,0.2917,0.7083,0.0444,0.0444,0.1778,45,24
24,0.0545,0.1818,0.0727,0.0727,0.1636,0.2188,0.7812,0.0909,0.0909,0.2727,55,32
25,0.0545,0.3091,0.0364,0.1273,0.1455,0.2759,0.7241,0.0727,0.0364,0.2182,55,29
26,0.0625,0.2031,0.0312,0.1406,0.1406,0.4324,0.5676,0.1562,0.0781,0.1875,64,37
27,0.0189,0.3019,0.0189,0.0189,0.283,0.1562,0.8438,0.0377,0.1132,0.2075,53,32
28,0.0513,0.1795,0.0256,0.0513,0.2051,0.1538,0.8462,0.0769,0.1538,0.2564,39,26
29,0.0682,0.1818,0.0682,0.1136,0.1818,0.4286,0.5714,0.1364,0.1136,0.1364,44,21
30,0.0563,0.1972,0.0845,0.1408,0.1268,0.2857,0.7143,0.1268,0.0845,0.1831,71,35
31,0.0625,0.2,0.0375,0.125,0.175,0.3684,0.6316,0.1125,0.0625,0.225,80,38
32,0.0851,0.1489,0.0638,0.1489,0.1915,0.32,0.68,0.1277,0.0638,0.1702,47,25
33,0.06,0.16,0.02,0.1,0.22,0.2759,0.7241,0.1,0.08,0.26,50,29
34,0.0513,0.2564,0.0256,0.0769,0.2051,0.1724,0.8276,0.0256,0.1026,0.2564,39,29
35,0.0612,0.1429,0.0204,0.1224,0.2041,0.3077,0.6923,0.1837,0.0816,0.1837,49,26
36,0.0357,0.2143,0.0536,0.0714,0.2143,0.1724,0.8276,0.0893,0.1071,0.2143,56,29
37,0.0357,0.2143,0.0357,0.0714,0.25,0.1875,0.8125,0.0714,0.0893,0.2321,56,32
38,0.05,0.2,0.025,0.025,0.25,0.1481,0.8519,0.075,0.05,0.325,40,27
39,0.08,0.2,0.04,0.04,0.24,0.1739,0.8261,0.12,0.04,0.24,25,23
40,0.066,0.1792,0.0377,0.1415,0.1981,0.3043,0.6957,0.0943,0.0755,0.2075,106,46
41,0.0,0.2,0.0,0.08,0.24,0.0909,0.9091,0.0,0.12,0.36,25,22
42,0.0208,0.25,0.0417,0.0625,0.2083,0.1562,0.8438,0.0625,0.0833,0.2708,48,32
43,0.0488,0.1463,0.122,0.0732,0.2683,0.1212,0.8788,0.0488,0.0488,0.2439,41,33
44,0.0444,0.2889,0.0222,0.0889,0.1556,0.2,0.8,0.0889,0.1111,0.2,45,25
45,0.0423,0.1831,0.0845,0.1831,0.169,0.4333,0.5667,0.0845,0.1127,0.1408,71,30
46,0.1224,0.1224,0.102,0.1429,0.1633,0.3333,0.6667,0.1429,0.0612,0.1429,49,30
47,0.0182,0.2727,0.0,0.0545,0.2545,0.125,0.875,0.0727,0.1636,0.1636,55,32
48,0.0488,0.1951,0.0488,0.0732,0.2195,0.25,0.75,0.122,0.1463,0.1463,41,20
49,0.0185,0.2778,0.0,0.0185,0.2407,0.0357,0.9643,0.037,0.1296,0.2778,54,28
50,0.0462,0.1846,0.0769,0.0769,0.2154,0.1944,0.8056,0.0615,0.0769,0.2615,65,36
51,0.025,0.2,0.025,0.025,0.3,0.1111,0.8889,0.05,0.075,0.3,40,27
52,0.0566,0.2075,0.0189,0.0943,0.2075,0.2188,0.7812,0.0377,0.0943,0.283,53,32
53,0.0857,0.2,0.0571,0.1714,0.1143,0.381,0.619,0.0857,0.0286,0.2571,35,21
