ID,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,total_emotions,total_sentiments
1,0.0,0.2857,0.0,0.0536,0.3214,0.1111,0.8889,0.0179,0.0714,0.25,56,27
2,0.0405,0.2432,0.027,0.0405,0.2162,0.175,0.825,0.1081,0.0811,0.2432,74,40
3,0.0213,0.1915,0.0213,0.0426,0.2979,0.1935,0.8065,0.1277,0.0851,0.2128,47,31
4,0.0441,0.25,0.0147,0.0882,0.25,0.25,0.75,0.0882,0.0441,0.2206,68,40
5,0.075,0.225,0.025,0.05,0.15,0.3704,0.6296,0.175,0.075,0.225,40,27
6,0.0204,0.2449,0.0,0.0408,0.3061,0.0345,0.9655,0.0204,0.1224,0.2449,49,29
7,0.0208,0.2083,0.0,0.0625,0.25,0.1562,0.8438,0.0833,0.0625,0.3125,48,32
8,0.0233,0.2326,0.0,0.0233,0.2558,0.2222,0.7778,0.0698,0.0698,0.3256,43,27
9,0.0,0.2381,0.0238,0.1429,0.2619,0.28,0.72,0.1429,0.0238,0.1667,42,25
10,0.0,0.2708,0.0208,0.0625,0.2292,0.129,0.871,0.0833,0.0833,0.25,48,31
11,0.1129,0.2097,0.0161,0.0645,0.1935,0.3529,0.6471,0.1129,0.0645,0.2258,62,34
12,0.0702,0.2105,0.0351,0.1228,0.2105,0.2903,0.7097,0.1053,0.1053,0.1404,57,31
13,0.0962,0.1923,0.0192,0.1154,0.2308,0.3077,0.6923,0.0577,0.0577,0.2308,52,26
14,0.0625,0.2083,0.0208,0.0833,0.25,0.32,0.68,0.0625,0.125,0.1875,48,25
15,0.0877,0.193,0.0351,0.0877,0.2105,0.3077,0.6923,0.0877,0.1228,0.1754,57,26
16,0.0789,0.1842,0.0263,0.1316,0.1842,0.3333,0.6667,0.0789,0.0526,0.2632,38,18
17,0.0893,0.1964,0.0536,0.0714,0.2679,0.2188,0.7812,0.0714,0.1071,0.1429,56,32
18,0.0851,0.1489,0.0426,0.0638,0.234,0.4074,0.5926,0.1489,0.0851,0.1915,47,27
19,0.0702,0.2105,0.0175,0.0877,0.2105,0.2333,0.7667,0.0702,0.1053,0.2281,57,30
20,0.0833,0.1667,0.0333,0.0833,0.2167,0.2812,0.7188,0.1167,0.15,0.15,60,32
21,0.0222,0.2444,0.0,0.0444,0.2667,0.2414,0.7586,0.0667,0.1333,0.2222,45,29
22,0.0,0.3333,0.0,0.0417,0.2917,0.2,0.8,0.0417,0.0,0.2917,24,15
23,0.0,0.2,0.0,0.05,0.3,0.1429,0.8571,0.05,0.1,0.3,20,14
24,0.0,0.25,0.0455,0.1364,0.25,0.2308,0.7692,0.0682,0.0909,0.1591,44,26
25,0.0,0.2424,0.0,0.0303,0.3636,0.087,0.913,0.0303,0.0909,0.2424,33,23
26,0.0385,0.1923,0.0,0.0385,0.2308,0.25,0.75,0.1154,0.1538,0.2308,26,16
27,0.0175,0.193,0.0175,0.0877,0.2982,0.2333,0.7667,0.0877,0.0351,0.2632,57,30
28,0.0,0.2143,0.0,0.0357,0.2857,0.1176,0.8824,0.0357,0.1071,0.3214,28,17
29,0.0,0.1579,0.0,0.0,0.4211,0.0476,0.9524,0.0,0.0526,0.3684,19,21
30,0.0,0.2432,0.027,0.0811,0.2432,0.1538,0.8462,0.0811,0.0541,0.2703,37,26
31,0.0244,0.1951,0.0,0.0244,0.3659,0.069,0.931,0.0488,0.122,0.2195,41,29
32,0.0333,0.2,0.0,0.0333,0.3667,0.1364,0.8636,0.0333,0.0333,0.3,30,22
33,0.027,0.1892,0.0,0.0,0.3514,0.16,0.84,0.027,0.1081,0.2973,37,25
34,0.0,0.2353,0.0,0.0,0.3529,0.1364,0.8636,0.0588,0.0882,0.2647,34,22
35,0.0,0.25,0.0,0.0,0.325,0.0417,0.9583,0.075,0.1,0.25,40,24
36,0.0222,0.2667,0.0222,0.0222,0.2889,0.1739,0.8261,0.0889,0.1111,0.1778,45,23
37,0.0,0.1818,0.0,0.0606,0.4242,0.1667,0.8333,0.0606,0.0606,0.2121,33,24
38,0.0256,0.2051,0.0256,0.0256,0.359,0.2,0.8,0.0513,0.0769,0.2308,39,25
39,0.0,0.25,0.0312,0.0312,0.375,0.2,0.8,0.0312,0.0938,0.1875,32,20
40,0.0,0.2647,0.0,0.0294,0.3824,0.0571,0.9429,0.0735,0.0735,0.1765,68,35
41,0.0556,0.2222,0.0,0.0,0.2778,0.1333,0.8667,0.0,0.1111,0.3333,18,15
42,0.0,0.3077,0.0,0.0769,0.3077,0.1111,0.8889,0.0769,0.0769,0.1538,13,9
43,0.0,0.1852,0.0,0.037,0.3704,0.125,0.875,0.0741,0.037,0.2963,27,16
44,0.0,0.1538,0.0,0.0769,0.3077,0.2,0.8,0.0769,0.1538,0.2308,13,10
45,0.0,0.2286,0.0,0.0,0.2857,0.087,0.913,0.0857,0.1143,0.2857,35,23
46,0.037,0.2222,0.0,0.037,0.2963,0.2143,0.7857,0.0741,0.037,0.2963,27,14
47,0.0357,0.2143,0.0,0.0,0.3214,0.0556,0.9444,0.0,0.1071,0.3214,28,18
48,0.0417,0.125,0.0,0.0833,0.3333,0.1176,0.8824,0.0833,0.125,0.2083,24,17
49,0.0,0.2432,0.0,0.0,0.3784,0.1304,0.8696,0.0811,0.1081,0.1892,37,23
50,0.027,0.2162,0.0,0.027,0.3784,0.125,0.875,0.027,0.0541,0.2703,37,24
51,0.0,0.2083,0.0,0.125,0.25,0.15,0.85,0.0833,0.0833,0.25,24,20
52,0.025,0.2,0.0,0.075,0.325,0.037,0.963,0.025,0.1,0.25,40,27
53,0.0263,0.2105,0.0,0.1053,0.2105,0.1818,0.8182,0.0789,0.0789,0.2895,38,22
54,0.0556,0.2778,0.0,0.1111,0.25,0.16,0.84,0.0556,0.0278,0.2222,36,25
55,0.0,0.2564,0.0,0.0769,0.2564,0.1053,0.8947,0.0513,0.0769,0.2821,39,19
56,0.0,0.3056,0.0,0.0556,0.2222,0.1667,0.8333,0.0833,0.0556,0.2778,36,18
57,0.0476,0.2381,0.0,0.1905,0.1905,0.1538,0.8462,0.0476,0.0,0.2857,21,13
58,0.0286,0.2857,0.0,0.1143,0.2,0.1667,0.8333,0.0571,0.0857,0.2286,35,18
59,0.0,0.3056,0.0,0.1111,0.1667,0.2,0.8,0.0833,0.0556,0.2778,36,25
60,0.0357,0.25,0.0,0.1429,0.2143,0.2667,0.7333,0.0357,0.0714,0.25,28,15
61,0.0484,0.2258,0.0,0.0323,0.2581,0.0571,0.9429,0.0645,0.0968,0.2742,62,35
62,0.0682,0.1364,0.0455,0.0795,0.2841,0.1163,0.8837,0.0682,0.1023,0.2159,88,43
63,0.0656,0.1803,0.0328,0.0656,0.2787,0.1429,0.8571,0.0328,0.1475,0.1967,61,35
64,0.0192,0.1923,0.0,0.0577,0.25,0.1176,0.8824,0.0769,0.1538,0.25,52,34
65,0.0286,0.2286,0.0143,0.0571,0.2714,0.122,0.878,0.0857,0.1143,0.2,70,41
66,0.0769,0.2308,0.0,0.0385,0.1923,0.1579,0.8421,0.1154,0.1154,0.2308,26,19
67,0.0781,0.2031,0.0469,0.0625,0.2031,0.2059,0.7941,0.0938,0.0625,0.25,64,34
68,0.0588,0.1961,0.0196,0.098,0.2353,0.1875,0.8125,0.0588,0.0588,0.2745,51,32
69,0.0286,0.1714,0.0,0.0571,0.2857,0.0833,0.9167,0.0857,0.1714,0.2,35,24
70,0.0755,0.1887,0.0566,0.0755,0.1887,0.1667,0.8333,0.1509,0.1132,0.1509,53,30
71,0.0444,0.1778,0.0222,0.0444,0.2889,0.1481,0.8519,0.0667,0.1333,0.2222,45,27
72,0.0476,0.2857,0.0,0.0952,0.2381,0.2083,0.7917,0.0714,0.0476,0.2143,42,24
