ID,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,total_emotions,total_sentiments
1,0.0,0.3333,0.0,0.0,0.3333,0.0625,0.9375,0.0417,0.0,0.2917,24,16
2,0.0,0.2368,0.0263,0.0526,0.3421,0.0909,0.9091,0.0263,0.1053,0.2105,38,22
3,0.0196,0.2353,0.0196,0.0588,0.2549,0.1071,0.8929,0.0392,0.098,0.2745,51,28
4,0.0,0.2444,0.0,0.0889,0.3111,0.1481,0.8519,0.0667,0.0444,0.2444,45,27
5,0.0,0.3043,0.0217,0.0217,0.2826,0.0833,0.9167,0.0,0.087,0.2826,46,24
6,0.0,0.2368,0.0263,0.0263,0.3158,0.0,1.0,0.0,0.0789,0.3158,38,21
7,0.025,0.275,0.0,0.05,0.275,0.1364,0.8636,0.05,0.075,0.25,40,22
8,0.0526,0.2632,0.0263,0.0789,0.2368,0.1304,0.8696,0.0789,0.0526,0.2105,38,23
9,0.0,0.3265,0.0,0.0816,0.3061,0.037,0.963,0.0,0.0612,0.2245,49,27
10,0.0159,0.2381,0.0159,0.0317,0.3333,0.1622,0.8378,0.0159,0.1111,0.2381,63,37
11,0.0,0.2449,0.0204,0.0408,0.3061,0.1,0.9,0.0204,0.102,0.2653,49,30
12,0.0444,0.2444,0.0222,0.0444,0.3111,0.1364,0.8636,0.0222,0.0889,0.2222,45,22
13,0.0238,0.3095,0.0,0.0476,0.2381,0.0952,0.9048,0.0238,0.0714,0.2857,42,21
14,0.0,0.2703,0.0,0.1081,0.2703,0.0,1.0,0.027,0.1081,0.2162,37,19
15,0.027,0.2432,0.0,0.0,0.2703,0.1154,0.8846,0.027,0.1622,0.2703,37,26
16,0.0,0.2766,0.0,0.0426,0.3404,0.1304,0.8696,0.0,0.0638,0.2766,47,23
17,0.0,0.4,0.0,0.0571,0.2857,0.087,0.913,0.0286,0.0286,0.2,35,23
18,0.0,0.2817,0.0,0.0704,0.2958,0.1579,0.8421,0.0423,0.0704,0.2394,71,38
19,0.0417,0.2292,0.0,0.1042,0.25,0.2,0.8,0.0417,0.0417,0.2917,48,25
20,0.0,0.2791,0.0,0.093,0.2791,0.2,0.8,0.0,0.0698,0.2791,43,20
21,0.0167,0.3167,0.0,0.0667,0.3,0.08,0.92,0.0167,0.1,0.1833,60,25
22,0.0444,0.2667,0.0222,0.0222,0.2444,0.12,0.88,0.0222,0.1333,0.2444,45,25
23,0.0,0.2653,0.0,0.0408,0.3061,0.16,0.84,0.0204,0.1429,0.2245,49,25
24,0.0,0.325,0.0,0.025,0.325,0.1304,0.8696,0.0,0.1,0.225,40,23
25,0.0,0.25,0.0,0.0833,0.2917,0.08,0.92,0.0417,0.1042,0.2292,48,25
26,0.0465,0.2791,0.0,0.1163,0.2791,0.16,0.84,0.0465,0.0233,0.2093,43,25
27,0.0392,0.2549,0.0,0.0392,0.2745,0.1053,0.8947,0.0588,0.0784,0.2549,51,38
28,0.0,0.2821,0.0,0.0256,0.3333,0.125,0.875,0.0256,0.0513,0.2821,39,24
29,0.0,0.2857,0.0,0.0238,0.3333,0.0909,0.9091,0.0,0.0952,0.2619,42,22
30,0.0286,0.2286,0.0,0.0571,0.3143,0.1429,0.8571,0.0,0.0857,0.2857,35,21
31,0.0714,0.2857,0.0357,0.0714,0.2857,0.2308,0.7692,0.0,0.0714,0.1786,28,13
32,0.0,0.2581,0.0,0.0323,0.3226,0.1429,0.8571,0.0323,0.129,0.2258,31,14
33,0.0,0.2647,0.0294,0.0294,0.2647,0.1304,0.8696,0.0,0.0882,0.3235,34,23
34,0.0,0.3158,0.0263,0.0263,0.2632,0.15,0.85,0.0,0.1053,0.2632,38,20
35,0.0196,0.3333,0.0196,0.0196,0.2353,0.1034,0.8966,0.0,0.0784,0.2941,51,29
36,0.0227,0.2727,0.0,0.0455,0.2955,0.24,0.76,0.0227,0.0682,0.2727,44,25
37,0.0,0.3548,0.0,0.0645,0.3871,0.1538,0.8462,0.0,0.0,0.1935,31,26
38,0.0227,0.2273,0.0,0.0455,0.2955,0.087,0.913,0.0455,0.1591,0.2045,44,23
39,0.0,0.2667,0.0222,0.0444,0.3333,0.125,0.875,0.0444,0.0444,0.2444,45,24
40,0.0339,0.2373,0.0,0.1017,0.2881,0.1739,0.8261,0.0847,0.0847,0.1695,59,23
41,0.0175,0.2982,0.0,0.0702,0.2456,0.0909,0.9091,0.0526,0.0702,0.2456,57,22
42,0.0175,0.2807,0.0175,0.0702,0.2632,0.1212,0.8788,0.0,0.0702,0.2807,57,33
43,0.0145,0.2754,0.0,0.058,0.3333,0.0312,0.9688,0.0145,0.058,0.2464,69,32
44,0.0,0.2826,0.0217,0.0,0.3043,0.0357,0.9643,0.0,0.0652,0.3261,46,28
45,0.0,0.2286,0.0,0.0,0.2857,0.0909,0.9091,0.0571,0.1714,0.2571,35,22
46,0.0,0.2222,0.0222,0.0667,0.3333,0.0833,0.9167,0.0444,0.1111,0.2,45,24
47,0.0189,0.3019,0.0189,0.0377,0.3019,0.0741,0.9259,0.0377,0.0755,0.2075,53,27
48,0.0,0.1613,0.0,0.0645,0.2903,0.1364,0.8636,0.0968,0.0323,0.3548,31,22
49,0.0,0.3333,0.0,0.0238,0.2619,0.0,1.0,0.0238,0.0714,0.2857,42,26
50,0.0,0.2553,0.0426,0.0426,0.234,0.25,0.75,0.0213,0.1064,0.2979,47,24
51,0.0,0.275,0.025,0.075,0.325,0.04,0.96,0.0,0.025,0.275,40,25
52,0.0,0.2308,0.0192,0.0577,0.3077,0.037,0.963,0.0,0.0769,0.3077,52,27
53,0.0,0.3333,0.0,0.037,0.3333,0.0417,0.9583,0.0,0.1111,0.1852,54,24
54,0.0,0.2432,0.027,0.027,0.2973,0.25,0.75,0.027,0.1351,0.2432,37,20
55,0.04,0.28,0.0,0.12,0.28,0.15,0.85,0.04,0.04,0.2,25,20
56,0.0,0.303,0.0,0.0303,0.303,0.1364,0.8636,0.0303,0.1212,0.2121,33,22
57,0.0,0.2985,0.0149,0.0149,0.2687,0.0244,0.9756,0.0,0.0448,0.3582,67,41
58,0.0,0.2812,0.0312,0.0312,0.3438,0.15,0.85,0.0312,0.125,0.1562,32,20
59,0.0,0.3415,0.0,0.0244,0.3415,0.0385,0.9615,0.0244,0.0976,0.1707,41,26
60,0.0204,0.2449,0.0204,0.0612,0.2857,0.087,0.913,0.0612,0.0408,0.2653,49,23
61,0.0556,0.2407,0.037,0.0926,0.2222,0.2609,0.7391,0.0741,0.1111,0.1667,54,23
62,0.0682,0.2045,0.0227,0.0682,0.25,0.3158,0.6842,0.0909,0.1136,0.1818,44,19
63,0.1,0.18,0.04,0.1,0.24,0.28,0.72,0.06,0.14,0.14,50,25
64,0.0635,0.2381,0.0317,0.0794,0.2222,0.1923,0.8077,0.0794,0.127,0.1587,63,26
65,0.0392,0.2745,0.0392,0.0588,0.2549,0.2273,0.7727,0.0392,0.1569,0.1373,51,22
66,0.0208,0.2292,0.0208,0.1042,0.2917,0.1905,0.8095,0.0417,0.0833,0.2083,48,21
67,0.0714,0.1607,0.0179,0.0893,0.3214,0.25,0.75,0.0893,0.0893,0.1607,56,28
68,0.0435,0.2174,0.0217,0.1087,0.2609,0.2632,0.7368,0.0435,0.1087,0.1957,46,19
69,0.087,0.1739,0.0217,0.0652,0.3261,0.1923,0.8077,0.0435,0.1304,0.1522,46,26
70,0.1042,0.2292,0.0208,0.125,0.3125,0.3571,0.6429,0.0417,0.0417,0.125,48,28
71,0.0638,0.1915,0.0426,0.1064,0.2553,0.2381,0.7619,0.0638,0.1277,0.1489,47,21
72,0.0364,0.2,0.0364,0.0909,0.3091,0.16,0.84,0.0545,0.1091,0.1636,55,25
73,0.0444,0.2222,0.0222,0.0889,0.2222,0.2381,0.7619,0.0889,0.1333,0.1778,45,21
74,0.0227,0.2273,0.0227,0.0909,0.2955,0.1818,0.8182,0.0227,0.1591,0.1591,44,22
75,0.1,0.1714,0.0571,0.1,0.2429,0.3,0.7,0.0429,0.1429,0.1429,70,30
76,0.0227,0.2273,0.0455,0.0455,0.25,0.1579,0.8421,0.0455,0.1364,0.2273,44,19
77,0.0769,0.1538,0.0513,0.1026,0.2821,0.1905,0.8095,0.0769,0.0769,0.1795,39,21
78,0.0714,0.2321,0.0357,0.0714,0.2143,0.1818,0.8182,0.0536,0.1429,0.1786,56,22
79,0.1091,0.1636,0.0364,0.1091,0.2545,0.2258,0.7742,0.0727,0.0909,0.1636,55,31
80,0.0323,0.2581,0.0645,0.0484,0.2581,0.15,0.85,0.0484,0.129,0.1613,62,20
81,0.0238,0.2381,0.0238,0.0952,0.2619,0.1579,0.8421,0.0238,0.1429,0.1905,42,19
82,0.0238,0.2619,0.0476,0.0952,0.2619,0.2857,0.7143,0.0476,0.119,0.1429,42,21
83,0.0426,0.234,0.0213,0.0426,0.3191,0.1724,0.8276,0.0426,0.0638,0.234,47,29
84,0.0,0.1818,0.0227,0.0682,0.3182,0.125,0.875,0.0682,0.1364,0.2045,44,24
85,0.0192,0.2308,0.0192,0.0962,0.2885,0.1923,0.8077,0.0577,0.1154,0.1731,52,26
86,0.05,0.225,0.025,0.075,0.225,0.2353,0.7647,0.075,0.125,0.2,40,17
87,0.0417,0.1875,0.0417,0.0833,0.2917,0.1304,0.8696,0.0625,0.1042,0.1875,48,23
88,0.0417,0.2292,0.0417,0.0625,0.2708,0.2273,0.7727,0.0417,0.1458,0.1667,48,22
89,0.0909,0.2338,0.0649,0.1299,0.1688,0.3929,0.6071,0.0649,0.1039,0.1429,77,28
90,0.0789,0.2105,0.0263,0.1053,0.2895,0.2105,0.7895,0.0789,0.0789,0.1316,38,19
91,0.0357,0.2143,0.0357,0.0536,0.3036,0.1923,0.8077,0.0536,0.1071,0.1964,56,26
92,0.0678,0.1695,0.0339,0.0678,0.2712,0.2,0.8,0.0678,0.1525,0.1695,59,25
93,0.0377,0.2453,0.0377,0.0755,0.2453,0.16,0.84,0.0377,0.1132,0.2075,53,25
