ID,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,total_emotions,total_sentiments
1,0.0385,0.2115,0.0,0.0577,0.1731,0.2432,0.7568,0.1731,0.0962,0.25,52,37
2,0.02,0.2,0.04,0.04,0.2,0.2353,0.7647,0.16,0.1,0.24,50,34
3,0.0,0.1,0.0333,0.0667,0.1333,0.4167,0.5833,0.3,0.1333,0.2333,30,24
4,0.0,0.2093,0.0,0.0465,0.2093,0.3333,0.6667,0.186,0.093,0.2558,43,36
5,0.0652,0.1739,0.0217,0.0652,0.1739,0.3448,0.6552,0.1739,0.087,0.2391,46,29
6,0.0492,0.1967,0.0164,0.0492,0.1475,0.3478,0.6522,0.1967,0.0984,0.2459,61,46
7,0.05,0.2,0.0,0.05,0.1,0.1923,0.8077,0.25,0.05,0.3,20,26
8,0.1053,0.1053,0.0526,0.0789,0.1053,0.4583,0.5417,0.2105,0.1053,0.2368,38,24
9,0.0,0.25,0.0,0.0208,0.2292,0.2353,0.7647,0.1667,0.0625,0.2708,48,34
10,0.05,0.2,0.025,0.05,0.2,0.1613,0.8387,0.15,0.025,0.3,40,31
11,0.0794,0.1429,0.0317,0.127,0.1587,0.3571,0.6429,0.1905,0.0635,0.2063,63,42
12,0.069,0.2414,0.0,0.0345,0.2414,0.2059,0.7941,0.1379,0.0,0.2759,29,34
13,0.1852,0.2222,0.037,0.0741,0.1481,0.3913,0.6087,0.1852,0.037,0.1111,27,23
14,0.0488,0.1463,0.0488,0.0976,0.2195,0.32,0.68,0.1463,0.0976,0.1951,41,25
15,0.04,0.18,0.02,0.1,0.24,0.225,0.775,0.14,0.04,0.24,50,40
16,0.1346,0.1346,0.0577,0.0769,0.1538,0.3333,0.6667,0.1346,0.1346,0.1731,52,33
17,0.0351,0.193,0.0351,0.0351,0.2456,0.1212,0.8788,0.0702,0.1053,0.2807,57,33
18,0.0408,0.2041,0.0204,0.0204,0.2041,0.2424,0.7576,0.0816,0.102,0.3265,49,33
19,0.1081,0.1351,0.027,0.0811,0.1892,0.3077,0.6923,0.1622,0.1351,0.1622,37,26
