ID,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,total_emotions,total_sentiments
1,0.0,0.25,0.0,0.0357,0.25,0.0,1.0,0.0,0.1071,0.3571,28,22
2,0.0303,0.2424,0.0,0.0909,0.2727,0.0588,0.9412,0.0,0.0909,0.2727,33,17
3,0.0,0.3043,0.0,0.0,0.2174,0.0,1.0,0.0,0.087,0.3913,23,16
4,0.027,0.1892,0.0,0.0811,0.2432,0.0667,0.9333,0.0541,0.1081,0.2973,37,30
5,0.0,0.2812,0.0,0.0,0.25,0.0385,0.9615,0.0,0.1562,0.3125,32,26
6,0.0244,0.3415,0.0244,0.0,0.2195,0.0345,0.9655,0.0,0.122,0.2683,41,29
7,0.0,0.3448,0.0,0.0345,0.2586,0.0323,0.9677,0.0,0.069,0.2931,58,31
8,0.0,0.3143,0.0,0.0,0.2857,0.0417,0.9583,0.0,0.1429,0.2571,35,24
9,0.0364,0.2727,0.0,0.0364,0.2364,0.0455,0.9545,0.0,0.1091,0.3091,55,44
10,0.0357,0.1786,0.0,0.1071,0.25,0.037,0.963,0.0,0.1071,0.3214,28,27
11,0.0,0.3214,0.0,0.0357,0.25,0.0,1.0,0.0,0.0893,0.3036,56,33
12,0.0,0.3729,0.0,0.0169,0.2373,0.0,1.0,0.0,0.1017,0.2712,59,41
13,0.0244,0.2195,0.0,0.0732,0.3415,0.037,0.963,0.0,0.0732,0.2683,41,27
14,0.0,0.1818,0.0,0.0606,0.2727,0.0345,0.9655,0.0,0.0303,0.4545,33,29
15,0.0,0.3182,0.0,0.0,0.3182,0.0,1.0,0.0,0.1364,0.2273,22,22
16,0.0,0.2105,0.0,0.0,0.2105,0.0,1.0,0.0,0.1053,0.4737,19,22
17,0.0,0.2917,0.0,0.0,0.2083,0.0,1.0,0.0,0.0417,0.4583,24,25
18,0.0,0.2,0.0,0.025,0.15,0.0256,0.9744,0.0,0.05,0.575,40,39
19,0.0,0.36,0.0,0.04,0.16,0.0,1.0,0.0,0.08,0.36,25,18
20,0.0323,0.2258,0.0323,0.0323,0.2258,0.0714,0.9286,0.0323,0.0968,0.3226,31,28
21,0.0682,0.1818,0.0455,0.0909,0.1818,0.1212,0.8788,0.0682,0.0909,0.2727,44,33
22,0.0541,0.2973,0.027,0.0811,0.2162,0.1667,0.8333,0.027,0.0811,0.2162,37,24
23,0.0,0.3462,0.0,0.0385,0.2692,0.0,1.0,0.0,0.0769,0.2692,26,17
24,0.0455,0.2273,0.0455,0.0455,0.3182,0.1579,0.8421,0.0909,0.0,0.2273,22,19
25,0.0263,0.2368,0.0,0.0,0.2105,0.0,1.0,0.0,0.1053,0.4211,38,26
26,0.05,0.275,0.025,0.025,0.275,0.1111,0.8889,0.025,0.075,0.25,40,27
27,0.0,0.2308,0.0,0.0256,0.2308,0.0,1.0,0.0,0.1282,0.3846,39,25
28,0.027,0.2432,0.0,0.0811,0.2703,0.1071,0.8929,0.0,0.1081,0.2703,37,28
29,0.0645,0.2581,0.0323,0.0323,0.2258,0.0,1.0,0.0,0.0323,0.3548,31,24
30,0.0,0.2222,0.0,0.0,0.1667,0.0,1.0,0.0,0.1111,0.5,18,23
31,0.0435,0.3478,0.0,0.087,0.1739,0.1053,0.8947,0.0,0.1739,0.1739,23,19
32,0.0244,0.2195,0.0244,0.0488,0.2683,0.0476,0.9524,0.0244,0.0732,0.3171,41,21
33,0.0,0.2941,0.0,0.0392,0.2353,0.0645,0.9355,0.0,0.1176,0.3137,51,31
34,0.0,0.3111,0.0,0.0667,0.2222,0.1111,0.8889,0.0444,0.1111,0.2444,45,27
35,0.0,0.1765,0.0,0.0882,0.1765,0.0294,0.9706,0.0294,0.1176,0.4118,34,34
36,0.05,0.15,0.05,0.1,0.25,0.0625,0.9375,0.05,0.1,0.25,20,16
37,0.0556,0.2222,0.0278,0.1111,0.2222,0.24,0.76,0.0833,0.0556,0.2222,36,25
38,0.0,0.3333,0.0,0.0667,0.2333,0.05,0.95,0.0,0.1,0.2667,30,20
39,0.0,0.25,0.0,0.125,0.25,0.0526,0.9474,0.0,0.0625,0.3125,32,19
40,0.0,0.2955,0.0,0.0227,0.3636,0.0385,0.9615,0.0,0.0455,0.2727,44,26
41,0.0,0.2,0.0,0.0,0.2,0.1739,0.8261,0.0,0.1333,0.4667,30,23
42,0.0323,0.2581,0.0323,0.0645,0.2258,0.0952,0.9048,0.0323,0.0968,0.2581,31,21
43,0.0,0.3438,0.0,0.0625,0.25,0.0,1.0,0.0,0.0938,0.25,32,23
44,0.0,0.2857,0.0,0.0476,0.2381,0.0,1.0,0.0,0.0714,0.3571,42,35
45,0.0,0.1795,0.0,0.1026,0.1795,0.0625,0.9375,0.0256,0.0769,0.4359,39,32
46,0.0,0.2917,0.0,0.0417,0.2083,0.0,1.0,0.0,0.1667,0.2917,24,26
47,0.0,0.3056,0.0,0.0833,0.2778,0.0357,0.9643,0.0278,0.0833,0.2222,36,28
48,0.0238,0.2619,0.0238,0.0238,0.2381,0.0435,0.9565,0.0238,0.0952,0.3095,42,23
49,0.0,0.2286,0.0,0.0,0.2571,0.0,1.0,0.0,0.0857,0.4286,35,33
50,0.0222,0.2222,0.0222,0.0667,0.2889,0.1071,0.8929,0.0222,0.1111,0.2444,45,28
51,0.0,0.32,0.0,0.04,0.36,0.1818,0.8182,0.0,0.12,0.16,25,22
52,0.0,0.3529,0.0,0.0,0.2353,0.0,1.0,0.0,0.1765,0.2353,17,17
53,0.0612,0.2245,0.0408,0.1429,0.2245,0.1852,0.8148,0.0612,0.0612,0.1837,49,27
54,0.0,0.2,0.0,0.0,0.25,0.0455,0.9545,0.0,0.15,0.4,20,22
55,0.0,0.303,0.0,0.0,0.2727,0.0,1.0,0.0,0.0606,0.3636,33,28
56,0.0,0.2759,0.0,0.0,0.2414,0.0,1.0,0.0,0.0345,0.4483,29,33
57,0.0,0.3333,0.0,0.0,0.2593,0.0,1.0,0.0,0.0741,0.3333,27,20
58,0.0182,0.2909,0.0,0.0364,0.3091,0.0357,0.9643,0.0,0.1091,0.2364,55,28
59,0.0,0.2889,0.0222,0.0444,0.2667,0.0,1.0,0.0,0.0889,0.2889,45,26
60,0.0,0.3158,0.0,0.0,0.2895,0.0833,0.9167,0.0,0.1053,0.2895,38,24
61,0.037,0.2346,0.0494,0.0741,0.2222,0.1628,0.8372,0.0617,0.1358,0.1852,81,43
62,0.1014,0.1594,0.087,0.087,0.1739,0.2759,0.7241,0.1014,0.1304,0.1594,69,29
63,0.0448,0.209,0.0448,0.0746,0.2836,0.1471,0.8529,0.0597,0.0896,0.194,67,34
64,0.0357,0.25,0.0536,0.0179,0.3036,0.0968,0.9032,0.0357,0.1429,0.1607,56,31
65,0.0508,0.2203,0.0508,0.0847,0.2373,0.1842,0.8158,0.0678,0.0508,0.2373,59,38
66,0.0833,0.2222,0.0556,0.0694,0.2222,0.1818,0.8182,0.0694,0.1111,0.1667,72,33
67,0.1087,0.1957,0.0652,0.1087,0.1957,0.25,0.75,0.0652,0.1087,0.1522,46,28
68,0.15,0.15,0.1,0.1,0.15,0.2857,0.7143,0.15,0.1,0.1,20,14
